#UpdateLogicID,UpdateLogicName,CompanyClassID,AgentClassID,DllFileName,DllFunctionName,Remarks
Ship_RefOnlyCurrentDateOrder&Box,Box&注文&注残&失注考慮出庫指示,CC002,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順にBoxを考慮した出庫指示(ただし、在庫不足の場合は失注)(LI_ship_16)
Ship_RefOnlyCurrentDateOrder&Box,Box&注文&注残&失注考慮出庫指示,CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順にBoxを考慮した出庫指示(ただし、在庫不足の場合は失注)(LI_ship_16)
Ship_RefOnlyCurrentDateOrder&Box,Box&注文&注残&失注考慮出庫指示,CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順にBoxを考慮した出庫指示(ただし、在庫不足の場合は失注)(LI_ship_16)
Ship_RefOrder&Backlog&DemandPriority,注文＆注残＆優先度考慮,CC002,AC003,,,販社出庫指示ロジック:注文＆注残＆優先度考慮
Ship_RefOrder&Backlog&DemandPriority,注文＆注残＆優先度考慮,CC004,AC003,,,倉庫出庫指示ロジック:注文＆注残＆優先度考慮
Ship_Ensure100%ShipmentOnSupplier&DemandPriority,注文100%出庫指示(優先度付与),CC007,AC003,,,サプライヤ出庫指示ロジック:注文100%出庫指示(優先度付与)
Ship_RefOrder&BacklogDate(TimeUnit),注文＆注残依存(時分単位考慮『から』処理(定時後輸送優先)),CC002,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮『から』処理(定時後輸送優先))(LI_ship_17)
Ship_RefOrder&BacklogDate(TimeUnit),注文＆注残依存(時分単位考慮『から』処理(定時後輸送優先)),CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮『から』処理(定時後輸送優先))(LI_ship_17)
Ship_RefOrder&BacklogDate(TimeUnit),注文＆注残依存(時分単位考慮『から』処理(定時後輸送優先)),CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮『から』処理(定時後輸送優先))(LI_ship_17)
Ship_RefOrder&BacklogDate(TimeUnit),注文＆注残依存(時分単位考慮『から』処理(定時後輸送優先)),CC009,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮『から』処理(定時後輸送優先))(LI_ship_17)
Ship_Ensure100%ShipmentOnSupplier(TimeUnit),注文100%出庫指示(時分単位考慮),CC007,AC003,,,在庫が無限大にある前提で出庫指示(時分単位考慮)(LI_ship_18)
Ship_RefExtShipInstruction(TimeUnit),出庫指示外部読込み(時分単位考慮),CC002,AC003,,,出庫指示を外部ファイル参照(時分単位考慮)(LI_ship_19)
Ship_RefExtShipInstruction(TimeUnit),出庫指示外部読込み(時分単位考慮),CC003,AC003,,,出庫指示を外部ファイル参照(時分単位考慮)(LI_ship_19)
Ship_RefExtShipInstruction(TimeUnit),出庫指示外部読込み(時分単位考慮),CC004,AC003,,,出庫指示を外部ファイル参照(時分単位考慮)(LI_ship_19)
Ship_RefExtShipInstruction(TimeUnit),出庫指示外部読込み(時分単位考慮),CC007,AC003,,,出庫指示を外部ファイル参照(時分単位考慮)(LI_ship_19)
Ship_RefExtShipInstruction(TimeUnit),出庫指示外部読込み(時分単位考慮),CC009,AC003,,,出庫指示を外部ファイル参照(時分単位考慮)(LI_ship_19)
Ship_RefOrder&BacklogDate(TimeUnit&BizTime),注文＆注残依存(時分単位考慮 『まで』処理(定時内輸送優先)),CC002,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮 『まで』処理(定時内輸送優先))(LI_ship_20)
Ship_RefOrder&BacklogDate(TimeUnit&BizTime),注文＆注残依存(時分単位考慮 『まで』処理(定時内輸送優先)),CC003,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮 『まで』処理(定時内輸送優先))(LI_ship_20)
Ship_RefOrder&BacklogDate(TimeUnit&BizTime),注文＆注残依存(時分単位考慮 『まで』処理(定時内輸送優先)),CC004,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮 『まで』処理(定時内輸送優先))(LI_ship_20)
Ship_RefOrder&BacklogDate(TimeUnit&BizTime),注文＆注残依存(時分単位考慮 『まで』処理(定時内輸送優先)),CC009,AC003,,,エージェント起動時点に届いている注文に対し、出庫要求日が古い順に出庫指示(時分単位考慮 『まで』処理(定時内輸送優先))(LI_ship_20)
Ship_UtilizeExtApp,出庫指示:外部アプリ連携,CC002,AC003,,,外部アプリ結果参照出庫指示発行(LO_ExtApp)
Ship_UtilizeExtApp,出庫指示:外部アプリ連携,CC003,AC003,,,外部アプリ結果参照出庫指示発行(LO_ExtApp)
Ship_UtilizeExtApp,出庫指示:外部アプリ連携,CC004,AC003,,,外部アプリ結果参照出庫指示発行(LO_ExtApp)
ShipInstructionWithOptimizedResult,最適化済み移送指示実行,CC002,AC003,,,出庫指示ロジック:最適化済み移送指示実行(販社)
ShipInstructionWithOptimizedResult,最適化済み移送指示実行,CC003,AC003,,,出庫指示ロジック:最適化済み移送指示実行(工場)
ShipInstructionWithOptimizedResult,最適化済み移送指示実行,CC004,AC003,,,出庫指示ロジック:最適化済み移送指示実行(倉庫)
ShipInstructionWithOptimizedResult,最適化済み移送指示実行,CC009,AC003,,,出庫指示ロジック:最適化済み移送指示実行(検査工場)
LP_prod_01,品目生産上限考慮(後ろ倒し),CC003,AC004,,,品目生産上限を考慮した生産計画を立案(上限超過時は後ろ倒し)(オリジナル名称)
